Sun, 12 Dec 2021 15:56:08 GMT; 127.0.0.1; /; 200 OK
Sun, 12 Dec 2021 15:56:09 GMT; 127.0.0.1; /index2.html; 200 OK
Sun, 12 Dec 2021 15:56:09 GMT; 127.0.0.1; /index.html; 200 OK
Sun, 12 Dec 2021 15:56:10 GMT; 127.0.0.1; /index3.html; 200 OK
Sun, 12 Dec 2021 15:56:10 GMT; 127.0.0.1; /index2.html; 200 OK
Sun, 12 Dec 2021 15:56:11 GMT; 127.0.0.1; /index.html; 200 OK
Sun, 12 Dec 2021 15:56:12 GMT; 127.0.0.1; /img_1.jpg; 200 OK
Sun, 12 Dec 2021 15:56:12 GMT; 127.0.0.1; /favicon.ico; 403 Forbidden
Sun, 12 Dec 2021 15:57:26 GMT; 127.0.0.1; /; 200 OK
Sun, 12 Dec 2021 15:57:38 GMT; 127.0.0.1; /other_link.html; 404 Not Found
Sun, 12 Dec 2021 15:58:27 GMT; 127.0.0.1; /index3.html; 200 OK
Sun, 12 Dec 2021 15:59:00 GMT; 127.0.0.1; /; 200 OK
Sun, 12 Dec 2021 15:59:01 GMT; 127.0.0.1; /index3.html; 200 OK
Sun, 12 Dec 2021 16:01:09 GMT; 127.0.0.1; /img_1.jpg; 200 OK
Sun, 12 Dec 2021 16:01:09 GMT; 127.0.0.1; /favicon.ico; 403 Forbidden
Sun, 12 Dec 2021 16:01:54 GMT; 127.0.0.1; /other.cvs; 403 Forbidden
Sun, 12 Dec 2021 16:06:20 GMT; 127.0.0.1; /favicon.ico; 403 Forbidden
